,dept/pgm,number,course title,area,class size,date,start time,end time
55,CSD,303,Brain and Cognition; with PSYCH 327,"I,III",100,MoWeFr,12:00,12:50
56,CSD,305,Phonetics,"I,III",20,MoWeFr,08:00,08:50
57,CSD,310,Biological Foundations of Speech and Music,I,100,TuTh,10:00,11:20
58,CSD,318,Introduction to Audiology,I,200,TuTh,14:00,15:20
59,EARTH,101,Earth Science for the 21st Century,I,50,MoWe,11:00,12:20
60,EARTH,105,Climate Catastrophes in Earth History,I,20,TuTh,13:00,14:20
61,EARTH,106,"The Ocean, The Atmosphere, & Our Climate",I,50,MoWeFr,12:00,12:50
62,EARTH,114,Evolution & the Scientific Method,I,20,TuTh,13:00,14:20
63,EARTH,180,Fantasy Worlds - How to Build Your Own Planet,I,20,MoWe,16:00,17:20
64,EARTH,201,Earth Systems Revealed,I,100,TuTh,15:00,14:20
65,EARTH,202,Earth's Interior,I,50,TuTh,15:00,14:20
66,EARTH,203,Earth System History,I,50,TuTh,11:00,12:20
67,EARTH,300,Earth and Planetary Materials,I,20,MoWeFr,15:00,15:50
68,EARTH,301,Petrology: Evolution of Crustal and Mantle Rocks,I,20,MoWeFr,14:00,14:50
69,EARTH,310,Aqueous Geochemistry,I,50,MoWeFr,13:00,13:50
70,EARTH,314,Organic Geochemistry,I,50,MoWeFr,12:00,12:50
71,EARTH,323,Seismology & Earth Strucutre,I,100,MoWe,10:00,11:20
72,EARTH,324,Earthquakes and Tectonics,I,100,TuTh,10:00,11:20
73,EARTH,340,Physics of Weather and Climate,I,50,MoWeFr,13:00,13:50
74,EARTH,341,Quaternary Climate Change: Ice Ages to the Age of Oil,I,50,TuTh,15:00,14:20
75,EARTH,342,Contemporary Energy and Climate Change,I,50,TuTh,09:00,10:20
76,EARTH,343,Earth System Modeling,I,50,TuTh,12:00,13:20
77,EARTH,370,Geobiology,I,50,MoWeFr,09:00,09:50
78,EARTH,371,Biogeochemistry,I,50,MoWeFr,08:00,08:50
79,ENVR SCI,201,Earth: A Habitable Planet,I,50,MoWe,11:00,12:20
80,ENVR SCI,202,The Health of the Biosphere,I,200,TuTh,09:00,10:20
81,ENVR SCI,203,Humans and the Environment,I,20,TuTh,14:00,15:20
82,GEN LA,280-1,Residence-Linked Seminar - I,I,20,TuTh,09:00,10:20
83,GEOG,211,World Biogeography,I,100,TuTh,12:00,13:20
84,GEOG,235,Atmosphere and Climate,I,200,MoWeFr,12:00,12:50
85,GEOG,341,Principles of Cartography,I,50,TuTh,10:00,11:20
86,GEOG,343,Geographic Information Systems,I,50,MoWe,09:00,10:20
87,GBL HLTH,308,Global Health in Human History,"I,IV",200,MoWe,15:00,14:20
88,ISEN,220,Introduction to Energy Systems for the Twenty-First Century,I,200,TuTh,15:00,14:20
89,LING,250,Sound Patterns in Human Language,I,100,TuTh,15:00,14:20
90,LING,350,Fundamentals of Laboratory Phonology,I,100,MoWeFr,15:00,15:50
91,MATH,327,Mechanics for Mathematicians,"I,II",20,MoWeFr,08:00,08:50
92,NEUROSCI,202,Cellular and Molecular Neuroscience,I,20,MoWe,11:00,12:20
93,NEUROSCI,206,Systems and Behavioral Neuroscience,I,50,MoWe,14:00,15:20
94,NEUROSCI,320,Animal Behavior,I,20,TuTh,14:00,15:20
95,NEUROSCI,360,Neuroscience of Brain Disorders,I,100,TuTh,13:00,14:20
96,NEUROSCI,377,Neurobiology of Sensation and Perception,I,50,MoWe,12:00,13:20
97,PHYSICS,103,Ideas of Physics,I,20,TuTh,16:00,17:20
98,PHYSICS,105,"Music, Sound, Timbre",I,200,TuTh,16:00,17:20
99,PHYSICS,106,A Brief Journey through the Invisible Universe (taught also as ASTRON 106),I,50,MoWe,15:00,14:20
100,PHYSICS,125-1,General Physics for ISP,I,200,TuTh,14:00,15:20
101,PHYSICS,125-2,General Physics for ISP,I,200,MoWe,13:00,14:20
102,PHYSICS,125-3,General Physics for ISP,I,100,MoWe,08:00,09:20
103,PHYSICS,130-1,College Physics,I,100,TuTh,16:00,17:20
104,PHYSICS,130-2,College Physics,I,20,MoWe,10:00,11:20
105,PHYSICS,130-3,College Physics,I,50,MoWeFr,12:00,12:50
106,PHYSICS,135-1,General Physics,I,20,MoWe,15:00,14:20
107,PHYSICS,135-2,General Physics,I,50,MoWeFr,09:00,09:50
108,PHYSICS,135-3,General Physics,I,50,TuTh,15:00,14:20
109,PHYSICS,140-1,Fundamentals of Physics,I,100,MoWe,09:00,10:20
110,PHYSICS,140-2,Fundamentals of Physics,I,50,MoWe,08:00,09:20
111,PHYSICS,140-3,Fundamentals of Physics,I,20,TuTh,08:00,09:20
112,PHYSICS,239,Foundations of Modern Physics,I,100,MoWeFr,15:00,15:50
113,PHYSICS,312,Scalar and Vector Field Methods in Physics,I,200,MoWe,11:00,12:20
114,PHYSICS,335,Physics of Magic,I,200,TuTh,15:00,14:20
115,PHYSICS,357,Optics Laboratory,I,200,MoWeFr,15:00,15:50
116,PSYCH,221,Introduction to Neuroscience,I,200,MoWeFr,09:00,09:50
117,PSYCH,320-0,Intermediate Neuroscience,I,50,MoWeFr,08:00,08:50
118,PSYCH,324,Perception,"I,III",100,MoWe,15:00,14:20
119,PSYCH,325-0,Selected Topics in Neuroscience and Psychophysiology,I,20,TuTh,09:00,10:20
120,PSYCH,327,Brain and Cognition; with CSD 303,"I,III",20,TuTh,14:00,15:20
121,PSYCH,328,Brain Damage & the Mind,"I,III",20,TuTh,12:00,13:20
122,PSYCH,336,Consciousness,"I,III",200,MoWe,08:00,09:20
123,PSYCH,374,Human Memory,"I,III",50,MoWeFr,08:00,08:50
124,PSYCH,378,Images of Cognition,"I,III",20,MoWe,11:00,12:20
125,PSYCH,379,Neuroscience & Behavior Laboratory,I,50,MoWeFr,10:00,10:50
126,AF AM ST,215,Introduction to Black Social & Political Life,"III,IV,V",20,MoWe,10:00,11:20
127,AF AM ST,218,Asian-Black Historical Relations in the U.S.; with ASIAN AM 218,"III,IV",20,TuTh,13:00,14:20
128,AF AM ST,236,Introduction to African American Studies,III,20,MoWe,09:00,10:20
129,AF AM ST,250,"Race, Class, & Gender",III,20,MoWeFr,16:00,16:50
130,AF AM ST,251,The Mixed-Race Experience; with ASIAN AM 251,III,200,MoWeFr,14:00,14:50
131,AF AM ST,319,"Race, Ethnicity, & the American Constitution","III,V",100,TuTh,08:00,09:20
132,AF AM ST,320,The Social Meaning of Race,III,20,TuTh,09:00,10:20
133,AF AM ST,325,Education for Black Liberation,III,100,TuTh,15:00,14:20
134,AF AM ST,327,Politics of Black Popular Culture,"III,VI",50,MoWeFr,12:00,12:50
135,AF AM ST,330,Black Women in 20th Century US,"III,IV",50,MoWeFr,12:00,12:50
136,AF AM ST,334,Gender & Black Masculinity,III,50,TuTh,10:00,11:20
137,AF AM ST,339,Unsettling Whiteness,"III,IV",200,MoWeFr,16:00,16:50
138,AF AM ST,342,Comparative Slavery,"III,IV,V",50,MoWe,08:00,09:20
139,AF AM ST,355,Diaspora Studies,III,20,MoWeFr,15:00,15:50
140,AF ST,360-SA,"Culture, Language, and Identity in South Africa",III,100,TuTh,15:00,14:20
141,ANTHRO,211,Culture & Society,III,200,TuTh,13:00,14:20
142,ANTHRO,215,The Study of Culture Through Language,III,20,MoWeFr,08:00,08:50
143,ANTHRO,221,Social and Health Inequalities; with SOCIOL 221,III,100,MoWe,12:00,13:20
144,ANTHRO,235,Language in Asian America; with ASIAN AM 235,III,50,TuTh,14:00,15:20
145,ANTHRO,240,Anthropology of Money,III,200,MoWe,09:00,10:20
146,ANTHRO,242,"Porous Borders? Geography, Power and Techniques of Movement",III,100,TuTh,12:00,13:20
147,ANTHRO,307,Anthropology of Peace,III,50,MoWe,15:00,14:20
148,ANTHRO,313,Evolutionary Medicine,III,50,MoWe,08:00,09:20
149,ANTHRO,320,Peoples of Africa,III,50,TuTh,09:00,10:20
150,ANTHRO,326,Archaeologies of Sustainability and Collapse (with ENVR POL 385),III,100,TuTh,08:00,09:20
151,ANTHRO,330,Peoples of the World,III,50,MoWeFr,13:00,13:50
152,ANTHRO,332,The Anthropology of Reproduction,III,100,TuTh,09:00,10:20
153,ANTHRO,334,The Anthropology of HIV/AIDS,III,20,MoWe,14:00,15:20
154,ANTHRO,339,Material Culture,III,200,MoWe,14:00,15:20
155,ANTHRO,341,Economic Anthropology,III,50,MoWe,13:00,14:20
156,ANTHRO,343,Anthropology of Race,III,200,MoWeFr,16:00,16:50
157,ANTHRO,353,Shady Business: Informal Economies in Contemporary Capitalism,III,20,MoWeFr,09:00,09:50
158,ANTHRO,354,Gender & Anthropology,III,50,TuTh,14:00,15:20
159,ANTHRO,355,Sexualities,III,50,MoWe,11:00,12:20
160,ANTHRO,358,Primate Behavior and Ecology,III,200,TuTh,12:00,13:20
161,ANTHRO,360,Language & Culture,III,20,MoWeFr,10:00,10:50
162,ANTHRO,361,Talk as Social Action,III,50,MoWeFr,16:00,16:50
163,ANTHRO,365,"Language, Race, and Ethnicity in the U.S.; with ASIAN AM 365",III,20,MoWe,09:00,10:20
164,ANTHRO,369,Contemporary Immigration to the US,III,200,MoWe,09:00,10:20
165,ANTHRO,373,Power & Culture in American Cities,III,200,MoWe,09:00,10:20
166,ANTHRO,376,Socialization,III,50,MoWe,14:00,15:20
167,ANTHRO,377,Psychological Anthropology,III,20,TuTh,12:00,13:20
168,ANTHRO,378,Law & Culture,III,20,MoWe,16:00,17:20
169,ANTHRO,382,Political Ecology (with ENVR POL 384),III,100,MoWe,09:00,10:20
170,ANTHRO,384,"Traveling While Muslim: Islam, Mobility, and Security after 9/11",III,20,MoWeFr,14:00,14:50
171,ASIAN AM,203,Topics in Asian American Social and Cultural Analysis,III,200,MoWe,12:00,13:20
172,ASIAN AM,210,Introduction to Asian American Studies,III,20,TuTh,08:00,09:20
173,ASIAN AM,218,Asian-Black Historical Relations in the U.S.; with AF AM ST 218,"III,IV",200,MoWe,15:00,14:20
174,ASIAN AM,225,Contemporary Issues in Asian American Communities,III,20,TuTh,13:00,14:20
175,ASIAN AM,235,Language in Asian America; with ANTHRO 235,III,50,MoWeFr,11:00,11:50
176,ASIAN AM,251,The Mixed-Race Experience; with AF AM ST 251,III,100,MoWeFr,10:00,10:50
177,ASIAN AM,303,Advanced Topics in Social and Cultural Analysis,III,50,MoWeFr,16:00,16:50
178,ASIAN AM,350,Asian American Religions,"III,V",100,MoWe,10:00,11:20
179,ASIAN AM,360,"Studies in Race, Gender, and Sexuality",III,200,TuTh,15:00,14:20
180,ASIAN AM,365,"Language, Race, and Ethnicity in the U.S.; with ANTHRO 365",III,50,MoWeFr,14:00,14:50
181,ASIAN AM,370,Studies in Diaspora,III,100,MoWeFr,09:00,09:50
182,BUS INST,303,Leadership in Organizations,III,100,TuTh,15:00,14:20
183,CFS,387,"Field Studies in Environment, Science, and Sustainability (variable-credit course; 1 unit can count toward distribution requirements)",III,200,TuTh,13:00,14:20
184,CFS,391,Field Studies in Social Justice (variable-credit course; 1 unit can count toward distribution requirements),III,20,MoWe,15:00,14:20
185,CFS,392,Field Studies in Public Health (variable-credit course; 1 unit can count toward distribution requirements),III,200,TuTh,08:00,09:20
186,CFS,393,Field Studies in the Modern Workplace (4-unit course; 1 unit can count toward distribution requirements),"III,IV",50,TuTh,11:00,12:20
187,CFS,394,Legal Field Studies (4-unit course; 1 unit can count toward distribution requirements),III,20,TuTh,14:00,15:20
188,CFS,395,Business Field Studies (4-unit course; 1 unit can count toward distribution requirements),III,100,MoWeFr,10:00,10:50
189,CFS,397,Field Studies in Civic Engagement (variable-credit course; 1 unit can count toward distribution requirements),III,100,MoWeFr,12:00,12:50
190,CLASSICS,360,Origins of Greek Democracy,"III,IV",50,TuTh,11:00,12:20
191,COG SCI,110,Introduction to Cognitive Science,III,200,TuTh,16:00,17:20
192,COG SCI,202,Evaluating Evidence; with POLI SCI 212,III,50,MoWeFr,16:00,16:50
193,COG SCI,211,"Learning, Representation, & Reasoning",III,100,MoWe,14:00,15:20
194,COG SCI,245,Presenting Ideas and Data (with PSYCH 245); starting Fall 2022 this will be COG SCI 345,III,200,MoWeFr,13:00,13:50
195,COG SCI,345,Presenting Ideas and Data (with PSYCH 345); prior to Fall 2022 this was COG SCI 245,III,100,MoWe,08:00,09:20
196,COMP_SCI,101,"Computer Science: Concepts, Philosophy, and Connections",III,50,MoWeFr,13:00,13:50
197,CSD,303,Brain and Cognition ; with PSYCH 327,"I,III",50,MoWe,14:00,15:20
198,CSD,305,Phonetics,"I,III",50,MoWeFr,10:00,10:50
199,CSD,306,Psychoacoustics,III,200,MoWeFr,08:00,08:50
200,CSD,309,"Culture, Language, and Learning",III,100,MoWeFr,16:00,16:50
201,CSD,334,Delivery Systems in Speech and Language Pathology,III,50,MoWeFr,13:00,13:50
202,CSD,342,Language and Cognition in Atypical Development,III,20,TuTh,12:00,13:20
203,CSD,373,Introduction to Learning Disabilities,III,20,TuTh,14:00,15:20
204,CSD,376,Diagnostic & Remedial Approaches for Children with Learning Problems,III,20,MoWeFr,14:00,14:50
205,CSD,392,Language Development and Usage,III,200,TuTh,11:00,12:20
206,ECON,201,Introduction to Macroeconomics,III,200,TuTh,14:00,15:20
207,ECON,202,Introduction to Microeconomics,III,50,MoWeFr,14:00,14:50
208,ECON,310-1,"Microeconomics, I",III,200,TuTh,12:00,13:20
209,ECON,311,Macroeconomics,III,20,MoWe,14:00,15:20
210,ENVR POL,211,Food and Society: An Introduction; with SOCIOL 211,III,50,TuTh,16:00,17:20
211,ENVR POL,212,Environment and Society; with SOCIOL 212,III,100,MoWe,16:00,17:20
212,ENVR POL,311,"Food, Politics, and Society; with SOCIOL 311",III,20,TuTh,09:00,10:20
213,ENVR POL,312,Social Change and the Environment; with SOCIOL 312,III,200,MoWeFr,13:00,13:50
214,ENVR POL,329,U.S. Environmental Politics (taught with POLI SCI 329),III,50,TuTh,08:00,09:20
215,ENVR POL,336,"The Climate Crisis, Policies, and Society; with SOCIOL 336",III,20,MoWe,09:00,10:20
216,ENVR POL,356,Native Americans and Environmental Decision Making; with PSYCH 356,III,20,MoWeFr,14:00,14:50
217,ENVR POL,360,Animal Law (with LEGAL ST 360),III,200,TuTh,12:00,13:20
218,ENVR POL,384,Political Ecology (with ANTHRO 382),III,100,MoWeFr,09:00,09:50
219,ENVR POL,385,Archaeologies of Sustainability and Collapse (with ANTHRO 326),III,50,MoWe,16:00,17:20
220,GBL HLTH,305,Global Health and Indigenous Medicine,III,200,MoWe,12:00,13:20
221,GBL HLTH,306,Biomedicine and Culture,III,50,MoWeFr,09:00,09:50
222,GBL HLTH,307,International Perspectives on Mental Health,III,200,TuTh,15:00,14:20
223,GBL HLTH,315-SA,Public Health in South Africa,III,20,TuTh,11:00,12:20
224,GBL HLTH,316-SA,"Development Perspectives on Health in South Africa through Community
Engagement",III,100,MoWeFr,15:00,15:50
225,GBL HLTH,320,Qualitative Research Methods in Global Health,III,100,MoWe,10:00,11:20
226,GBL HLTH,321,War and Public Health,"III,V",200,MoWeFr,10:00,10:50
227,GBL HLTH,322,Social Determinants of Health,III,200,MoWeFr,13:00,13:50
228,GBL HLTH,323,Global Health from Policy to Practice,III,50,MoWeFr,14:00,14:50
229,GBL HLTH,332-SA,Public Health in China,III,100,MoWeFr,11:00,11:50
230,GBL HLTH,333-SA,Traditional Chinese Medicine,III,100,MoWeFr,11:00,11:50
231,GEN LA,280-3,Residence-Linked Seminar - III,III,50,MoWe,11:00,12:20
232,GEOG,240,Economic Geography,III,100,MoWeFr,10:00,10:50
233,GEOG,312,Geography of Chicago and Its Region,III,100,MoWeFr,10:00,10:50
234,GEOG,313,North America,III,200,MoWe,13:00,14:20
235,GEOG,328,The Human Use of The Earth,III,50,TuTh,13:00,14:20
236,GERMAN,213,"Politics, History, and Culture in 21st Century Germany",III,200,TuTh,09:00,10:20
237,GNDR ST,220,Sexual Subjects: Introduction to Sexuality Studies,"III,IV",20,MoWe,16:00,17:20
238,GNDR ST,232,Sexuality and Society; with SOCIOL 232,III,200,MoWe,12:00,13:20
239,GNDR ST,234,Language and Gender; with LING 223,III,50,TuTh,13:00,14:20
240,GNDR ST,235,Beyond the Binary: Transgender and Race,III,20,MoWeFr,09:00,09:50
241,GNDR ST,250,Gender Issues in Science and Health,III,200,MoWe,14:00,15:20
242,GNDR ST,331,Sociology of Gender and Sexuality,III,50,MoWeFr,16:00,16:50
243,GNDR ST,332,"Gender, Sexuality, and Health",III,50,MoWeFr,10:00,10:50
244,GNDR ST,340,"Gender, Sexuality, and the Law (with LEGAL ST 340)","III,IV",100,MoWe,13:00,14:20
245,GNDR ST,341,Transnational Perspectives on Gender and Sexuality,III,200,MoWeFr,16:00,16:50
246,GNDR ST,350-3,Research Seminar in Gender and Sexuality Studies,III,100,MoWeFr,10:00,10:50
247,GNDR ST,351,"Gender, Sexuality, and Public Policy",III,20,MoWeFr,15:00,15:50
248,GNDR ST,352,"Gender, Sexuality, and Political Theory",III,50,MoWe,08:00,09:20
249,GNDR ST,353,Gender and Citizenship,III,20,MoWeFr,13:00,13:50
250,GNDR ST,371,"Gender, Sexuality, and Popular Culture",III,50,MoWeFr,12:00,12:50
251,HUM,220,"Health, Biomedicine, Culture, and Society ; with SOCIOL 220","III,V",200,TuTh,14:00,15:20
252,HUM,310-3,Global Humanities Lab,III,100,MoWeFr,09:00,09:50
253,HUM,325-3,Humanites in the Digital Age,III,200,MoWeFr,11:00,11:50
254,HUM,370-3,Special Topics in the Humanities,III,200,MoWeFr,13:00,13:50
255,INTL ST,290,Introductory Topics in International Studies,III,20,MoWe,16:00,17:20
256,INTL ST,393-0,"Development in the Global Context: Participation, Power, and Social Change (variable credit course; 1 unit can count toward distribution requirements)",III,100,MoWe,12:00,13:20
257,INTL ST,393-SA,"Development in the Global Context: Participation, Power, and Social Change (variable credit course; 1 unit can count toward distribution requirements)",III,20,MoWeFr,08:00,08:50
258,IEMS,365,Analytics for Social Good,III,20,MoWe,16:00,17:20
259,ISEN,210,Introduction to Sustainability: Challenges and Solutions,III,200,TuTh,08:00,09:20
260,LATINO,201,Introduction to Latina and Latino Studies,"III,IV",50,MoWe,08:00,09:20
261,LATINO,222,Latina and Latino Youth in U.S. Cities,III,100,MoWeFr,14:00,14:50
262,LATINO,342,Latina and Latino Social Movements,"III,V",50,TuTh,13:00,14:20
263,LATINO,392,Topics in Latina and Latino Social and Political Issues,"III,V",50,MoWeFr,12:00,12:50
264,LEGAL ST,206,Law and Society; with SOCIOL 206,III,20,TuTh,10:00,11:20
265,LEGAL ST,207,Legal Studies Research Methods; with SOCIOL 227,III,200,MoWe,08:00,09:20
266,LEGAL ST,308,Sociology of Law; with SOCIOL 318,III,20,TuTh,15:00,14:20
267,LEGAL ST,315,Corporation in US Law and Culture,III,100,MoWeFr,09:00,09:50
268,LEGAL ST,330,U.S. Refugee Policy & Localities (with POLI SCI 330),III,50,MoWeFr,12:00,12:50
269,LEGAL ST,332,Constitutional Law I; with POLI SCI 332,III,20,TuTh,09:00,10:20
270,LEGAL ST,333,Constitutional Law II; with POLI SCI 333,III,50,MoWe,14:00,15:20
271,LEGAL ST,340,Gender and the Law (with GNDR ST 340),"III,IV",20,TuTh,08:00,09:20
272,LEGAL ST,342,International Organizations; with POLI SCI 342,III,50,MoWe,10:00,11:20
273,LEGAL ST,348,"Race, Politics, and the Law; with SOCIOL 348",III,20,MoWe,16:00,17:20
274,LEGAL ST,350,Psychology and the Law; with PSYCH 340,III,50,MoWe,10:00,11:20
275,LEGAL ST,356,Constitutional Challenges in Comparative Perspective (with POLI SCI 356),III,50,TuTh,08:00,09:20
276,LEGAL ST,360,Animal Law (with ENVR POL 360),III,100,MoWe,12:00,13:20
277,LEGAL ST,380,Refugee Crises and Human Rights (with POLI SCI 380),III,50,MoWe,14:00,15:20
278,LEGAL ST,381,Children and the Law; with PSYCH 381,III,100,MoWeFr,14:00,14:50
279,LING,220,Language and Society,III,50,MoWe,15:00,14:20
280,LING,223,Language and Gender; with GNDR ST 234,III,20,TuTh,12:00,13:20
281,LING,312,Experimental Sociolinguistics,III,20,TuTh,09:00,10:20
282,LING,315,Experimental Approaches to Word Form Processing,III,50,MoWeFr,11:00,11:50
283,LING,316,Experimental Syntax,III,50,MoWeFr,16:00,16:50
284,LING,317,Experimental Pragmatics,III,100,MoWe,16:00,17:20
285,LING,320,Sociolinguistics,III,50,MoWe,16:00,17:20
286,LING,321,Bilingualism,III,100,TuTh,09:00,10:20
287,LING,330,Research Methods in Linguistics,III,50,MoWe,13:00,14:20
288,LING,363,Making a Dictionary: The Northwestern Project; with SLAVIC 322,III,100,MoWe,10:00,11:20
289,LING,373,Implicature,III,200,MoWeFr,10:00,10:50
290,MENA,200,"Making the Modern Middle East: Culture, Politics, History","III,VI",200,TuTh,09:00,10:20
291,MENA,290-3,Introductory Topics in Middle East and North African Studies,III,50,MoWe,13:00,14:20
292,MENA,390-3,Advanced Topics in  Middle East and North African Studies,III,200,TuTh,15:00,14:20
293,MMSS,211-1,Social Science Theories & Methods: First Year 1,III,20,MoWeFr,08:00,08:50
294,MMSS,211-3,Social Science Theories & Methods: First Year 3,III,100,MoWeFr,15:00,15:50
295,PHIL,225,Minds and Machines,III,50,MoWe,09:00,10:20
296,PHIL,253,Introduction to the Philosophy of Language,III,50,MoWe,11:00,12:20
297,POLI SCI,201,Introduction to Political Theory,"III,V",100,MoWe,15:00,14:20
298,POLI SCI,211,Introduction to Interprative Methods in Political Science,III,20,MoWe,10:00,11:20
299,POLI SCI,212,Evaluating Evidence; with COG SCI 202,III,100,MoWeFr,14:00,14:50
300,POLI SCI,220,American Government and Politics,III,100,MoWe,11:00,12:20
301,POLI SCI,230,Introduction to Law in the Political Arena,III,20,TuTh,15:00,14:20
302,POLI SCI,240,Introduction to International Relations,III,100,MoWe,15:00,14:20
303,POLI SCI,250,Introduction to Comparative Politics,III,100,MoWe,13:00,14:20
304,POLI SCI,306,American Political Thought,"III,IV",50,TuTh,16:00,17:20
305,POLI SCI,320,The American Presidency,III,100,TuTh,15:00,14:20
306,POLI SCI,321,Urban Politics,III,50,MoWe,13:00,14:20
307,POLI SCI,322,Ideas and Institutions in Urban Politics,III,50,MoWeFr,09:00,09:50
308,POLI SCI,324,Political Parties and Elections,III,50,TuTh,09:00,10:20
309,POLI SCI,325,Congress and the Legislative Process,III,100,MoWeFr,14:00,14:50
310,POLI SCI,326,Race and Public Policy,III,100,TuTh,14:00,15:20
311,POLI SCI,327,African American Politics,III,100,MoWe,11:00,12:20
312,POLI SCI,329,U.S. Environmental Politics (taught with ENVR POL 329),III,100,MoWeFr,11:00,11:50
313,POLI SCI,330,U.S. Refugee Policy & Localities (with LEGAL ST 330),III,100,MoWeFr,08:00,08:50
314,POLI SCI,332,Constitutional Law I; with LEGAL ST 332,III,100,MoWe,11:00,12:20
315,POLI SCI,333,Constitutional Law II; with LEGAL ST 333,III,20,MoWeFr,11:00,11:50
316,POLI SCI,334,Latino Politics,III,20,TuTh,10:00,11:20
317,POLI SCI,335,Political Psychology,III,20,MoWe,16:00,17:20
318,POLI SCI,336,Immigration Politics and Policy,III,200,MoWeFr,16:00,16:50
